cntr_mf,source_id_mf,ra,dec,nb,na,cc_flags,cat,cntr,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,w3flux_ep,w3sigflux_ep,w4flux_ep,w4sigflux_ep,w1x_ep,w1y_ep,w2x_ep,w2y_ep,w3x_ep,w3y_ep,w4x_ep,w4y_ep,qi_fact,saa_sep,moon_masked,load_id,x,y,z,spt_ind,htm20
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010014,06705b189,55401.36522310,9.704,0.023,3.044,8.862,0.021,1.777,6.132,0.019,0.921,4.143,0.034,2.904,20815.4922,438.7950,17997.9648,343.4530,55861.7422,970.0900,3489.9041,108.5220,368.323,534.609,369.123,534.512,368.619,534.161,183.891,267.347,1.0,-3,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010015,06709b189,55401.49752690,9.692,0.024,3.018,8.885,0.022,1.879,6.100,0.015,0.902,4.148,0.055,2.908,21043.1074,474.0200,17618.8164,365.0940,57526.3047,811.0440,3473.0139,177.0390,533.866,594.852,533.930,594.032,534.726,592.656,266.580,297.119,1.0,20,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010016,06712a163,55401.56361500,9.689,0.032,3.015,8.845,0.023,1.767,6.144,0.022,1.009,4.142,0.035,2.903,21099.6953,627.0980,18279.3574,389.1430,55247.6719,1106.6160,3494.5349,111.8700,87.840,157.676,88.636,158.868,84.583,161.624,43.929,81.031,1.0,40,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010017,06713b189,55401.62983060,9.740,0.023,3.264,8.894,0.022,1.942,6.108,0.015,0.877,4.146,0.054,2.906,20129.8359,429.9060,17481.7324,354.1680,57118.1133,812.4140,3481.1609,173.7120,699.444,645.505,698.727,643.971,700.787,641.588,349.307,322.139,1.0,61,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010018,06716a163,55401.69591880,9.701,0.019,3.035,8.847,0.020,1.765,6.130,0.016,0.907,4.114,0.034,2.914,20874.8516,362.3300,18245.8066,336.2230,56001.5469,836.5620,3584.9180,110.8770,252.131,229.473,252.326,229.917,249.526,231.589,125.921,116.489,1.0,82,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010019,06717b189,55401.76213440,9.718,0.023,3.102,8.844,0.031,1.768,6.092,0.015,0.952,4.137,0.033,2.901,20558.0410,443.2350,18294.2871,516.6950,57988.6133,799.3720,3507.9700,105.0110,864.798,722.745,863.433,720.509,866.925,716.982,431.958,360.314,1.0,102,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010020,06720a163,55401.82822260,9.674,0.025,3.023,8.796,0.021,2.084,6.134,0.014,0.933,4.132,0.035,2.901,21394.1719,486.8310,19132.1426,372.6740,55761.1133,734.1360,3526.8799,112.6520,417.348,305.621,416.898,305.324,415.445,305.893,208.408,154.108,1.0,111,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010021,06724a164,55401.96052650,9.724,0.024,3.137,8.885,0.021,1.882,6.116,0.016,0.872,4.085,0.029,2.986,20443.2344,449.5740,17612.8359,340.6370,56713.5625,860.0110,3682.6440,99.1210,580.988,372.145,579.824,371.124,579.689,370.630,290.128,186.966,1.0,70,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010022,06728a164,55402.09283020,9.666,0.021,3.046,8.838,0.020,1.779,6.100,0.021,0.904,4.163,0.050,2.930,21566.6953,412.8800,18393.2031,346.0720,57558.2109,1135.8180,3426.3560,157.6690,742.591,437.474,740.702,435.745,741.882,434.180,370.846,219.230,1.0,29,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010023,06732a164,55402.22513400,9.690,0.022,3.016,8.825,0.028,1.832,6.099,0.015,0.907,4.134,0.038,2.900,21081.7461,429.1770,18621.3672,480.5180,57584.4023,821.7800,3519.6670,122.9080,908.341,496.010,905.660,493.564,908.149,490.935,453.652,248.141,1.0,10,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010024,12078a117,55579.03290440,9.726,0.024,3.150,8.900,0.024,1.997,,,,,,,20404.7734,454.2820,17379.6680,379.3070,,,,,853.526,819.142,852.674,816.992,,,,,1.0,26,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
